,term,weight
39,bowl,0.0015773200498387938
111,friday,0.001627287754420149
77,democratic,0.0016282528485862537
63,control,0.0016488669589444502
246,rise,0.0016841038002932294
199,muslim,0.0016878451248877543
117,gift,0.001701090891693482
65,couple,0.0017108810336102147
23,awards,0.0017115838033016555
5,13,0.0017157178934033917
280,stay,0.001722366674272509
148,iran,0.001752703523054479
67,cover,0.001756923796848896
15,advice,0.0017723506024670491
324,washington,0.001791998317869658
263,set,0.0017934003126877263
91,email,0.0017937823158820703
211,online,0.0017948614627876856
258,second,0.0017969758915542084
156,justice,0.0018046360705759098
165,learned,0.0018066500966122641
260,security,0.0018066528222401674
14,ad,0.001810846537408599
155,judge,0.0018185469007754973
2,100,0.0018252078361682947
40,boy,0.0018254485061380728
224,play,0.001828994862418195
256,science,0.0018327709830237798
28,beautiful,0.0018386923410307018
230,presidential,0.0018411321152492952
169,lgbt,0.0018521799134008552
126,government,0.001858218109830196
274,speech,0.0018615926866145042
11,2015,0.0018618911137613418
35,birthday,0.001863030688530962
131,halloween,0.0018685029753619854
248,rules,0.0018735240125745684
159,kid,0.0018867512781409529
249,run,0.0018934005476837793
268,single,0.001894078450668964
286,student,0.0019014042778713314
54,chris,0.0019048745773856109
57,claims,0.0019050567839506316
172,list,0.0019056585871212567
333,west,0.0019154768956013662
86,drug,0.0019158427748591457
231,problem,0.0019185559993944456
293,supreme,0.0019221272954227792
16,age,0.0019245464523326456
195,morning,0.001926532465281272
38,book,0.0019296158719211143
142,hot,0.001936068933215178
120,gives,0.0019366359958169661
89,eating,0.0019378672311699322
41,brain,0.0019392624247234298
308,today,0.0019569896411536537
346,yoga,0.0019587876089532134
298,team,0.001969296383427255
157,kardashian,0.0019748761631774954
208,obamacare,0.0019749958813252717
336,winter,0.001977026751042063
326,water,0.001980532198803765
202,needs,0.0019818889811009537
319,vs,0.001983674205930606
107,florida,0.001984357249836215
193,moms,0.0019922426243061814
47,car,0.001992291667430118
306,times,0.0019943838526793375
320,wall,0.0020062534968768265
233,questions,0.002014576753159453
153,job,0.002021695375529727
270,snl,0.002024729127185015
146,inside,0.002027329907836313
87,easy,0.0020300500502630535
300,tell,0.0020326595619775787
284,street,0.0020349414623199507
149,isis,0.0020371291627170026
24,away,0.0020483237454423722
232,public,0.002055564291298272
277,stars,0.0020631427091122707
218,pay,0.002063740381575324
241,republican,0.0020738780706625213
317,violence,0.0020826673066015513
158,kate,0.00208298135706244
152,jimmy,0.0020840720696101854
162,kim,0.0020944553911421485
281,steps,0.0020978483516804194
175,lives,0.002101570095845809
100,favorite,0.00210310106188231
93,ex,0.0021035409311308444
215,paris,0.002103712263262696
261,self,0.0021093166818052927
53,china,0.002111371431586427
251,ryan,0.0021149404222364112
237,recipe,0.0021216103976763366
161,killed,0.0021221281007924044
226,poll,0.0021284499729546744
103,finally,0.0021338794772541143
99,father,0.0021391983797122423
209,office,0.0021431865517311534
301,texas,0.0021529034499095895
312,tweets,0.0021534621815503586
343,wrong,0.0021580618162293196
166,lessons,0.0021679260026971616
30,bernie,0.0021845573957845134
64,country,0.0021973896867698924
88,eat,0.0021999639458917604
106,fire,0.002202193412828399
6,15,0.0022155464296141516
275,spring,0.002219861821581654
61,coming,0.0022220421311448446
271,social,0.0022253886480151463
132,happy,0.002232566866344179
285,stress,0.0022348065723171652
121,goes,0.002236166911655044
62,congress,0.0022368896657836627
348,young,0.0022467852674873806
318,vote,0.00225214173005255
279,states,0.0022545371306451284
247,risk,0.0022707410040210996
79,didn,0.002285372488914338
296,talks,0.0022861087882083517
27,ban,0.0022883178319279495
76,debate,0.0022919540642338423
273,south,0.0022925025891891676
331,weekend,0.002292724465035995
188,meet,0.0022953835461319272
243,reveals,0.002296686015552418
13,actually,0.002301510958055316
147,interview,0.002306589845320356
287,students,0.002307343662948947
7,20,0.002316529116467743
145,ideas,0.002322087920470672
332,weight,0.0023312298201853335
253,save,0.002331282616503769
299,teen,0.002336414328628372
68,crisis,0.002336511380816656
49,case,0.002339810146433007
213,parenting,0.002345456618120026
292,support,0.002346875115677246
102,film,0.0023672968558021085
335,win,0.00237619453814074
129,gun,0.0023821721521138897
178,long,0.002401580990923083
164,law,0.0024088109182543744
130,hair,0.0024132601531197937
168,letter,0.002427829129333908
212,open,0.002429897126632552
95,facebook,0.0024433574471771575
181,lost,0.0024511442723973388
190,michael,0.0024598156107899912
119,girls,0.0024602513483656767
104,find,0.002461561857934295
217,paul,0.002473809453677177
96,fall,0.002478372578016978
109,found,0.0024823272151082414
314,use,0.0024825245739142784
252,sanders,0.002487886569550741
4,12,0.002502705777561622
234,race,0.002509341376063708
78,democrats,0.002512957159146118
151,james,0.0025136524337535534
12,2016,0.0025150886101813377
250,russia,0.002518205843049302
197,movie,0.0025207567032972636
262,senate,0.0025266060972530145
297,tax,0.0025313310089016537
150,isn,0.0025320164115922882
311,tv,0.0025348381759077642
342,worst,0.0025466374264719966
72,days,0.0025467892735224155
37,body,0.0025481478288536187
227,post,0.002563386435157032
239,red,0.002578499698133643
176,living,0.0025945090218616952
